career,calculated_pay_per_hour,monthly_salary,hours_per_week
Biomédica,6875.0,1100000.0,40.0
Civil/Construcciones,7022.17,971571.38,36.85
Electrónica,16176.01,1740066.67,33.17
Eléctrica,9277.78,1600000.0,43.75
Industrial,6562.5,750000.0,27.5
Ingeniería civil e ingeniería hidráulica,7093.75,908000.0,32.0
Química,5625.0,775000.0,35.0
Sistemas/Informática,12069.45,1386181.0,34.4
Sonido,27500.0,1100000.0,10.0
